"Day "	"Summary "	"Luminosity "	"LHC Status"
"Friday 26 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Thursday 25 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Wednesday 24 Aug"			
"LHC Fills"			
"w/ Stable Beams"	"None"		
"ATLAS Runs"			
"w/ Stable Beams"	"None"		
			
"Peak Stable Lumi"	"-"		
"Peak <Events>/BX"	"-"		
"Avg <Events>/BX"	"-"		
	"Lumi (mb-1)"	"Percent"	
"Physics Beams Del."	0	"-"	
"ATLAS Ready Del."	0	"-"	
"ATLAS Ready Rec."	0	"-"	
"Del. after Warmstop"	0	"-"	
	"Plot "	"Plot"	
"Tuesday 23 Aug"			
"LHC Fills"			
"w/ Stable Beams"	8151		
"ATLAS Runs"			
"w/ Stable Beams"	432180		
			
"Peak Stable Lumi"	"1.69x1034 cm-2 s-1"		
"Peak <Events>/BX"	49.2		
"Avg <Events>/BX"	40.6		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	605	"100.0%"	
"ATLAS Ready Del."	599.8	"99.1%"	
"ATLAS Ready Rec."	567.4	"93.8%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Monday 22 Aug"			
"LHC Fills"			
"w/ Stable Beams"	8149		
"ATLAS Runs"			
"w/ Stable Beams"	431914		
			
"Peak Stable Lumi"	"1.67x1034 cm-2 s-1"		
"Peak <Events>/BX"	48.5		
"Avg <Events>/BX"	36.4		
	"Lumi (pb-1)"	"Percent"	
"Physics Beams Del."	608.8	"100.0%"	
"ATLAS Ready Del."	608.8	"100.0%"	
"ATLAS Ready Rec."	593.3	"97.5%"	
"Del. after Warmstop"	0	"0.0%"	
	"Plot "	"Plot"	
"Sunday 21 Aug"			
"LHC Fills"			
