
Day, Fills, Duration, Colliding, LStableDel, LStableRec, LStableRecPercent, LReadyRec, LReadyRecPercent, LPeakAll, LPeakStable, PeakMu, AvgMu
220826, , 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
220825, , 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
220824, , 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
220823, 8151, 44716.5, 2448, 604.954, 571.228, 94.4%, 567.364, 93.8%, 16927.0, 16927.0, 49.2, 40.6
220822, 8149, 51218.5, 2448, 608.813, 593.337, 97.5%, 593.337, 97.5%, 16681.0, 16681.0, 48.5, 36.4
220821, 8147 8148 8149, 58893.5, 2448, 837.818, 784.904, 93.7%, 784.306, 93.6%, 17678.0, 17678.0, 52.4, 43.2
220820, 8144 8146, 39234.8, 2400, 534.553, 516.603, 96.6%, 516.002, 96.5%, 18895.0, 18895.0, 56.0, 42.0
220819, 8142 8143, 62745.0, 2400, 788.783, 725.8, 92.0%, 725.194, 91.9%, 18569.0, 18569.0, 55.0, 39.8
220818, , 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
220817, 8136, 37684.2, 1922, 396.176, 386.476, 97.6%, 382.059, 96.4%, 14624.0, 14624.0, 54.1, 40.2
220816, 8132, 3109.0, 2400, 50.535, 49.319, 97.6%, 49.319, 97.6%, 17163.0, 17163.0, 50.9, 48.9
220815, 8128 8132, 35859.9, 2400, 502.197, 487.851, 97.1%, 487.461, 97.1%, 18463.0, 18463.0, 54.7, 43.3
220814, 8124 8125 8128, 22805.9, 2400, 215.618, 207.397, 96.2%, 200.448, 93.0%, 13256.0, 13256.0, 39.3, 28.8
220813, 8120 8121 8124, 33859.9, 2400, 446.808, 427.522, 95.7%, 426.92, 95.5%, 18109.0, 18109.0, 53.7, 41.1
220812, 8118 8120, 40155.9, 2400, 504.017, 476.276, 94.5%, 475.993, 94.4%, 15918.0, 15918.0, 52.4, 41.3
220811, 8115 8118, 38450.3, 2160, 481.973, 449.789, 93.3%, 449.496, 93.3%, 17577.0, 17577.0, 57.9, 42.9
